trade_id,pattern_type,timeframe,direction,detection_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,r_multiple,mtf_score,confidence
37,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-11-04 00:00:00+00:00,252.91216799999998,210.71,379.5186719999999,2024-12-05 00:00:00+00:00,242.90552000000002,timeout,28,-280.18614399999876,11.110672563199998,-291.2968165631988,-0.24651476991418933,3,0.7868585329014944
38,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-11-07 00:00:00+00:00,250.08991199999997,210.71,368.2296479999999,2024-12-09 00:00:00+00:00,245.26363200000003,timeout,31,-149.61467999999815,12.2896378176,-161.90431781759816,-0.13262396141464067,3,0.7868585329014944
39,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-11-11 00:00:00+00:00,242.51385599999998,210.71,337.9254239999999,2024-12-12 00:00:00+00:00,247.12214400000002,timeout,39,179.72323200000173,15.282816307199997,164.44041569280174,0.1325757768240445,3,0.7868585329014944
40,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-11-14 00:00:00+00:00,237.149568,210.71,316.46827199999996,2024-12-16 00:00:00+00:00,244.624144,timeout,46,343.8304960000006,17.736480102399995,326.0940158976006,0.26812088403259915,3,0.7868585329014944
41,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-11-18 00:00:00+00:00,241.49303999999998,210.71,333.8421599999999,2024-12-19 00:00:00+00:00,239.10856000000004,timeout,37,-88.22575999999776,14.231473983999997,-102.45723398399775,-0.08995584685592917,3,0.7868585329014944
42,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-11-21 00:00:00+00:00,246.57710399999996,210.71,354.17841599999986,2024-12-23 00:00:00+00:00,241.03701600000002,timeout,31,-171.74272799999815,12.0976161792,-183.84034417919815,-0.16534185986133554,3,0.7868585329014944
43,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-11-25 00:00:00+00:00,241.22282399999997,210.71,332.7612959999999,2024-12-26 00:00:00+00:00,242.79560800000004,timeout,35,55.04744000000244,13.557959072,41.489480928002436,0.038849689586256286,3,0.7868585329014944
44,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,245.15596799999997,210.71,348.4938719999999,2024-12-30 00:00:00+00:00,240.35756000000003,timeout,30,-143.95223999999814,11.656943231999998,-155.60918323199814,-0.15058287153956434,3,0.7868585329014944
45,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-12-02 00:00:00+00:00,244.10512799999998,210.71,344.2905119999999,2025-01-02 00:00:00+00:00,245.16371200000003,timeout,30,31.75752000000159,11.747163072,20.010356928001592,0.019973329570710244,3,0.7868585329014944
46,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-12-05 00:00:00+00:00,243.29447999999996,210.71,341.04791999999986,2025-01-06 00:00:00+00:00,243.00544000000002,timeout,30,-8.671199999998294,11.675867519999997,-20.34706751999829,-0.02081468183625898,3,0.7868585329014944
47,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-12-09 00:00:00+00:00,245.656368,210.71,350.49547199999995,2025-01-10 00:00:00+00:00,248.53101600000002,timeout,28,80.49014400000101,11.0742546432,69.41588935680102,0.07094124647230973,3,0.7868585329014944
48,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-12-12 00:00:00+00:00,247.51785599999997,210.71,357.94142399999987,2025-01-13 00:00:00+00:00,246.04300800000004,timeout,28,-41.29574399999785,11.0601759744,-52.35591997439785,-0.05080041295531925,3,0.7868585329014944
49,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-12-16 00:00:00+00:00,245.01585599999999,210.71,347.93342399999995,2025-01-16 00:00:00+00:00,250.309592,timeout,33,174.6932880000008,13.081882598399998,161.6114054016008,0.14275449984982236,3,0.7868585329014944
50,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-12-19 00:00:00+00:00,239.49143999999998,210.71,325.83575999999994,2025-01-21 00:00:00+00:00,252.967464,timeout,40,539.040960000001,15.765166079999997,523.275793920001,0.45452537635365137,3,0.7868585329014944
51,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-12-23 00:00:00+00:00,241.42298399999996,210.71,333.56193599999983,2025-01-23 00:00:00+00:00,253.85675200000003,timeout,36,447.6156480000026,14.269909939199998,433.3457380608026,0.39193136078213997,3,0.7868585329014944
52,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-12-26 00:00:00+00:00,243.18439199999997,210.71,340.6075679999999,2025-01-27 00:00:00+00:00,252.79760000000002,timeout,34,326.84907200000146,13.496215462399999,313.35285653760144,0.2838008633510383,3,0.7868585329014944
53,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-12-30 00:00:00+00:00,240.74244,210.71,330.83975999999996,2025-01-30 00:00:00+00:00,257.883528,timeout,36,617.0791680000009,14.366374271999998,602.7127937280009,0.5574645965495989,3,0.7868585329014944
54,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-01-02 00:00:00+00:00,245.556288,210.71,350.095152,2025-02-03 00:00:00+00:00,259.472256,timeout,30,417.4790400000006,12.125670912,405.35336908800065,0.3877537535590599,3,0.7868585329014944
55,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-01-06 00:00:00+00:00,243.39455999999996,210.71,341.4482399999998,2025-02-06 00:00:00+00:00,263.349152,timeout,32,638.5469440000015,12.978036735999996,625.5689072640015,0.5981120245155535,3,0.7868585329014944
